config_novalnet_api;"<b style='color:red;width: 800px;'>Novalnet API Configuration</b>"
config_novalnet_secret_key;"Product activation key"
config_description_novalnet_secret_key;"Your product activation key is a unique token for merchant authentication and payment processing. Get your Product activation key from the Novalnet Admin Portal: PROJECT > Choose your project > Shop Parameters > API Signature (Product activation key)"
config_novalnet_success_msg;"Novalnet merchant details are configured successfully. To proceed further, Please select the tariff id and save the Novalnet payment configurations."
config_NClass;"Click here to Configure Novalnet API"
config_novalnet_client_key;"Client key"
config_novalnet_vendor;"Merchant ID"
config_novalnet_auth_code;"Authentication code"
config_novalnet_product;"Project ID" 
config_novalnet_tariff;"Tariff ID"
config_description_novalnet_tariff_val;"Select Tariff ID"
config_description_novalnet_tariff;"Select a Tariff ID to match the preferred tariff plan you created at the Novalnet Admin Portal for this project"
config_novalnet_password;"Payment access key"
config_description_novalnet_manual_check_limit;"In case the order amount exceeds the mentioned limit, the transaction will be set on-hold till your confirmation of the transaction. You can leave the field empty if you wish to process all the transactions as on-hold."
config_novalnet_payment_logo_display;"Display payment logo"
config_description_novalnet_payment_logo_display;"The payment method logo(s) will be displayed on the checkout page"
config_novalnet_order_status;"<b style='color:red;width: 800px;'>Payment status management for on-hold transactions</b>"
config_novalnet_onhold_order_complete;"Onhold order status"
config_novalnet_onhold_order_cancelled;"Cancellation payment status"


config_novalnetcc;"<b style='color:red;width: 800px;'>Credit/Debit Cards</b>"
config_novalnetcc_test_mode;"Enable test mode"
config_novalnetcc_cc3d;"Enable 3D secure"
config_description_novalnetcc_test_mode;"The payment will be processed in the test mode therefore amount for this transaction will not be charged"
config_description_novalnetcc_cc3d;"The 3D-Secure will be activated for credit cards. The issuing bank prompts the buyer for a password what, in turn, help to prevent a fraudulent payment. It can be used by the issuing bank as evidence that the buyer is indeed their card holder. This is intended to help decrease a risk of charge-back"
config_novalnetcc_amex_enabled;"Display AMEX logo"
config_description_novalnetcc_amex_enabled;" Display AMEX logo in checkout page"
config_novalnetcc_maestro_enabled;"Display Maestro logo"
config_novalnetcc_shopping_type;"Shopping type"
config_description_novalnetcc_shopping_type;"Payment details stored during the checkout process can be used for future payments."

config_novalnet_api_save;"Click here to auto configure Novalnet API"
config_novalnetcc_payment_notification_to_buyer;"Notification for the buyer"
config_description_novalnetcc_payment_notification_to_buyer;"The entered text will be displayed on the checkout page"
config_novalnetcc_after_paymenstatus;"Payment completion status"
config_description_novalnetcc_maestro_enabled;"Display Maestro logo in checkout page"
config_novalnetcc_cciframe;"<b style='width: 800px;'>Form appearance</b>"
config_novalnetcc_field_configuration;"<b style='width: 600px;'>CSS settings for Credit Card iframe</b>"
config_novalnetcc_form_fields;"<b style='width: 500px;'>Form fields</b>"
config_novalnetcc_holder_name;"<b style='width: 500px;'>Card holder name</b>"
config_novalnetcc_holder_label;"Label"
config_novalnetcc_capture;"Payment action"
config_novalnetcc_holder_field;"Input field"
config_novalnetcc_card_number;"<b style='width: 500px;'>Card number</b>"
config_novalnetcc_card_number_label;"Label"
config_novalnetcc_card_number_field;"Input field"
config_novalnetcc_expiry_date;"<b style='width: 500px;'>Expiry date</b>"
config_novalnetcc_expiry_date_label;"Label"
config_novalnetcc_expiry_date_field;"Input field"
config_novalnetcc_cvc;"<b style='width: 500px;'>CVC/CVV/CID</b>"
config_novalnetcc_cvc_label;"Label"
config_novalnetcc_cvc_field;"Input field"
config_novalnetcc_standard_configuration;"<b style='width: 800px;'>CSS settings for Credit Card iframe</b>"
config_novalnetcc_standard_label;"Label"
config_novalnetcc_standard_field;"Input"
config_novalnetcc_standard_text;"Css Text"

config_novalnetcallback;"<b style='color:red;width: 800px;'>Notification / Webhook URL Setup</b>"
config_novalnetcallback_test_mode;"Allow manual testing of the Notification / Webhook URL"
config_description_novalnetcallback_test_mode;"Enable this to test the Novalnet Notification / Webhook URL manually. Disable this before setting your shop live to block unauthorized calls from external parties"

config_novalnet_callback_mail_send;"Enable e-mail notification"
config_novalnet_callback_mail_send_to;"Send e-mail to"
config_description_novalnet_callback_mail_send_to;"Notification / Webhook URL execution messages will be sent to this e-mail"
config_novalnet_callback_notification_url;"Notification / Webhook URL"
config_description_novalnet_callback_notification_url;"The notification URL is used to keep your database/system actual and synchronizes with the Novalnet transaction status"
config_novalnetinvoice;"<b style='color:red;width: 800px;'>Invoice</b>"
config_novalnetinvoice_test_mode;"Enable test mode"
config_description_novalnetinvoice_test_mode;"The payment will be processed in the test mode therefore amount for this transaction will not be charged"
config_novalnetinvoice_due_date;"Payment due date (in days)"
config_novalnetprepayment_due_date;"Payment due date (in days)"
config_novalnetinvoice_capture;"Payment action"
config_description_novalnetinvoice_due_date;"Number of days given to the buyer to transfer the amount to Novalnet (must be greater than 7 days). If this field is left blank, 14 days will be set as due date by default."
config_novalnetinvoice_payment_notification_to_buyer;"Notification for the buyer"
config_description_novalnetinvoice_payment_notification_to_buyer;"The entered text will be displayed on the checkout page"
config_novalnetinvoice_before_paymenstatus;"Payment completion status"
config_novalnetinvoice_after_paymenstatus;"Callback payment status"
config_novalnetinvoice_guarantee_payment;"Enable payment guarantee"
config_description_novalnetinvoice_guarantee_payment;"Basic requirements for payment guarantee<br /><br />Allowed countries: AT, DE, CH<br />Allowed currency: EUR<br />Minimum amount of order >= 9,99 EUR<br />Minimum age of end customer >= 18 Years <br />The billing address must be the same as the shipping address<br />Gift certificates/vouchers are not allowed"
config_novalnetinvoice_guaruntee_minimum;"Minimum order amount (in minimum unit of currency. E.g. enter 100 which is equal to 1.00)"
config_description_novalnetinvoice_guaruntee_minimum;"This setting will override the default setting made in the minimum order amount. Note: Minimum amount should be greater than or equal to 9,99 EUR."
config_novalnetinvoice_guarantee_before_paymenstatus;"Payment status for the pending payment"
config_novalnetinvoice_force_guarantee_payment;"Force Non-Guarantee payment"
config_description_novalnetinvoice_force_guarantee_payment;"Even if payment guarantee is enabled, payments will still be processed as non-guarantee payments if the payment guarantee requirements are not met. Review the requirements under "Enable Payment Guarantee" in the Installation Guide."
config_novalnetinvoice_guarantee_configuration;"Payment guarantee configuration"

config_novalnetcashpayment;"<b style='color:red;width: 800px;'>Barzahlen/viacash</b>"
config_novalnetcashpayment_test_mode;"Enable test mode"
config_description_novalnetcashpayment_test_mode;"The payment will be processed in the test mode therefore amount for this transaction will not be charged"
config_novalnetcashpayment_before_paymenstatus;"Payment completion status"
config_novalnetcashpayment_due_date;"Slip expiry date (in days)"
config_description_novalnetcashpayment_due_date;"Enter the number of days to pay the amount at store near you. If the field is empty, 14 days will be set as default."
config_novalnetcashpayment_payment_notification_to_buyer;"Notification for the buyer"
config_description_novalnetcashpayment_payment_notification_to_buyer;"The entered text will be displayed on the checkout page"
config_novalnetcashpayment_after_paymenstatus;"Callback payment status"

config_novalnetprepayment;"<b style='color:red;width: 800px;'>Prepayment</b>"
config_novalnetprepayment_test_mode;"Enable test mode"
config_description_novalnetprepayment_test_mode;"The payment will be processed in the test mode therefore amount for this transaction will not be charged"
config_novalnetprepayment_payment_notification_to_buyer;"Notification for the buyer"
config_description_novalnetprepayment_payment_notification_to_buyer;"The entered text will be displayed on the checkout page"
config_novalnetprepayment_before_paymenstatus;"Payment completion status"
config_novalnetprepayment_after_paymenstatus;"Callback payment status"

config_novalnetsepa;"<b style='color:red;width: 800px;'>Direct Debit SEPA</b>"
config_novalnetsepa_test_mode;"Enable test mode"
config_novalnetsepa_due_date;"Payment due date (in days)"
config_description_novalnetsepa_due_date;"Number of days after which the payment is debited (must be between 2 and 14 days)"
config_novalnetsepa_shopping_type;"Shopping type"
config_novalnetsepa_capture;"Payment Action"
config_description_novalnetsepa_test_mode;"The payment will be processed in the test mode therefore amount for this transaction will not be charged"
config_description_novalnetsepa_shopping_type;"Payment details stored during the checkout process can be used for future payments."
config_novalnetsepa_payment_notification_to_buyer;"Notification for the buyer"
config_description_novalnetsepa_payment_notification_to_buyer;"The entered text will be displayed on the checkout page"
config_novalnetsepa_after_paymenstatus;"Payment completion status"
config_novalnetsepa_guarantee_payment;"Enable payment guarantee"
config_description_novalnetsepa_guarantee_payment;"Basic requirements for payment guarantee<br /><br />Allowed countries: AT, DE, CH<br />Allowed currency: EUR<br />Minimum order amount: 9,99 EUR or more<br />Age limit: 18 years or more<br /> The billing address must be the same as the shipping address"          
config_novalnetsepa_force_guarantee_payment;"Force Non-Guarantee payment"
config_description_novalnetsepa_force_guarantee_payment;"Even if payment guarantee is enabled, payments will still be processed as non-guarantee payments if the payment guarantee requirements are not met. Review the requirements under "Enable Payment Guarantee" in the Installation Guide."
config_novalnetsepa_guarantee_configuration;"Payment guarantee configuration"
config_novalnetsepa_guarantee_before_paymenstatus;"Payment status for the pending payment"
config_novalnetsepa_guaruntee_minimum;"Minimum order amount for payment guarantee"
config_description_novalnetsepa_guaruntee_minimum;"Enter the minimum amount (in cents) for the transaction to be processed with payment guarantee. For example, enter 100 which is equal to 1,00. By default, the amount will be 9,99 EUR."
frontend_description_novalnetsepa;"The amount will be debited from your account by Novalnet"

config_novalnetinstant;"<b style='color:red;width: 800px;'>Sofort</b>"
config_novalnetinstant_test_mode;"Enable test mode"
config_description_novalnetinstant_test_mode;"The payment will be processed in the test mode therefore amount for this transaction will not be charged"
config_novalnetinstant_payment_notification_to_buyer;"Notification for the buyer"
config_description_novalnetinstant_payment_notification_to_buyer;"The entered text will be displayed on the checkout page"
config_novalnetinstant_after_paymenstatus;"Payment completion status"
config_novalnetgiropay_after_paymenstatus;"Payment completion status"

config_novalnetpaypal;"<b style='color:red;width: 800px;'>PayPal</b>"
config_novalnetgiropay;"<b style='color:red;width: 800px;'>Giropay</b>"
config_novalnetpaypal_test_mode;"Enable test mode"
config_novalnetgiropay_test_mode;"Enable test mode"
config_description_novalnetpaypal_test_mode;"The payment will be processed in the test mode therefore amount for this transaction will not be charged"
config_description_novalnetgiropay_test_mode;"The payment will be processed in the test mode therefore amount for this transaction will not be charged"
config_novalnetpaypal_capture;"Payment action"
config_novalnetpaypal_payment_notification_to_buyer;"Notification for the buyer"
config_novalnetgiropay_payment_notification_to_buyer;"Notification for the buyer"
config_description_novalnetpaypal_payment_notification_to_buyer;"The entered text will be displayed on the checkout page"
config_description_novalnetgiropay_payment_notification_to_buyer;"The entered text will be displayed on the checkout page"
config_novalnetpaypal_before_paymenstatus;"Payment status for the pending payment"
config_novalnetpaypal_after_paymenstatus;"Payment completion status"
config_novalnetpaypal_shopping_type;"Shopping type"
config_description_novalnetpaypal_shopping_type;"Payment details stored during the checkout process can be used for future payments."

config_novalnetprzelewy24;"<b style='color:red;width: 800px;'>Przelewy24</b>"
config_novalnetprzelewy24_test_mode;"Enable test mode"
config_description_novalnetprzelewy24_test_mode;"The payment will be processed in the test mode therefore amount for this transaction will not be charged"
config_novalnetprzelewy24_payment_notification_to_buyer;"Notification for the buyer"
config_description_novalnetprzelewy24_payment_notification_to_buyer;"The entered text will be displayed on the checkout page"
config_novalnetprzelewy24_before_paymenstatus;"Payment status for the pending payment"
config_novalnetprzelewy24_after_paymenstatus;"Payment completion status"

config_novalnetideal;"<b style='color:red;width: 800px;'>iDEAL</b>"
config_novalnetideal_test_mode;"Enable test mode"
config_description_novalnetideal_test_mode;"The payment will be processed in the test mode therefore amount for this transaction will not be charged"
config_novalnetideal_payment_notification_to_buyer;"Notification for the buyer"
config_description_novalnetideal_payment_notification_to_buyer;"The entered text will be displayed on the checkout page"
config_novalnetideal_after_paymenstatus;"Payment completion status"

config_novalneteps;"<b style='color:red;width: 800px;'>EPS</b>"
config_novalneteps_test_mode;"Enable test mode"
